scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
6  -32 (4112,4220)     0 -24889 10000000000 722449.8  8.5e+07    73.0    74.6    76.0   8.0   4.01
7  -32 (4112,4220)     0 -23885 10000000000 750423.7  8.7e+07    78.3    80.2    81.6   8.1   3.96
8  -32 (4112,4220)     0 -21972 10000000000 1165004.9  1.1e+08    54.6    55.6    56.4   7.6   4.23
9  -32 (4112,4220)     0 -16776 10000000000 385723.0  6.2e+07    62.6    63.7    64.8   7.8   4.12
10  -32 (4112,4220)     0 -25559 10000000000 1385190.3  1.2e+08    81.7    83.5    84.9   8.1   3.93
11  -32 (4112,4220)     0 -19330 10000000000 563652.7  7.5e+07    81.8    83.7    84.8   8.1   3.93
12  -32 (4112,4220)     0 -15422 10000000000 710550.8  8.4e+07    67.1    68.5    69.8   7.9   4.07
13  -32 (4112,4220)     0 -10937 10000000000 660649.4  8.1e+07    89.7    91.4    92.5   8.3   3.86


scn_mbs_osi_runID_004_00169_Int-400_Exp-10800_10Oct16_13:07_to_10Oct16_16:11.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4262 10000000000 300061.8  5.5e+07    75.1    76.7    77.6   8.0   3.99
1  -32 (4112,4220)     0 -18275 10000000000 685596.0  8.3e+07    85.3    87.3    88.5   8.2   3.90
2  -32 (4112,4220)     0 -18954 10000000000 371434.3  6.1e+07    58.4    59.6    60.7   7.7   4.18
3  -32 (4112,4220)     0  -9862 10000000000 394049.8  6.3e+07    61.5    62.8    64.0   7.7   4.14
4  -32 (4112,4220)     0 -10887 10000000000 588529.6  7.7e+07    47.4    48.2    49.0   7.4   4.35
5  -32 (4112,4220)     0 -14876 10000000000 367235.0  6.1e+07    44.9    45.5    45.9   7.3   4.39
6  -32 (4112,4220)     0 -24770 10000000000 935418.2  9.7e+07    72.9    74.5    75.8   8.0   4.01
7  -32 (4112,4220)     0 -24085 10000000000 770056.9  8.8e+07    78.2    80.1    81.6   8.1   3.96
8  -32 (4112,4220)     0 -20606 10000000000 1538602.5  1.2e+08    54.7    55.8    56.6   7.6   4.23
9  -32 (4112,4220)     0 -16499 10000000000 527900.1  7.3e+07    62.4    63.7    64.7   7.8   4.13
10  -32 (4112,4220)     0 -25543 10000000000 1058006.4  1.0e+08    81.6    83.6    84.9   8.1   3.93
11  -32 (4112,4220)     0 -19506 10000000000 1245985.1  1.1e+08    82.0    83.8    85.1   8.2   3.93
12  -32 (4112,4220)     0 -15523 10000000000 728397.5  8.5e+07    66.8    68.2    69.4   7.9   4.07
13  -32 (4112,4220)     0 -11090 10000000000 692183.7  8.3e+07    90.5    92.1    93.2   8.3   3.86


